id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers
95e67a275dc6acb8ecd7b6818f7e8bab,baseball_kbo,KBO,2026-04-19T05:00:40Z,NC Dinos,SSG Landers,"[{'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T08:00:06Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T08:00:06Z', 'outcomes': [{'name': 'NC Dinos', 'price': 1.01}, {'name': 'SSG Landers', 'price': 34.0}]}]}]"
20fb73eae7a3d20d70883fa14cc2f467,baseball_npb,NPB,2026-04-19T05:01:00Z,Hanshin Tigers,Chunichi Dragons,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T08:00:08Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T08:00:08Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 8.0}, {'name': 'Hanshin Tigers', 'price': 1.07}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T07:59:17Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:17Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 5.25}, {'name': 'Hanshin Tigers', 'price': 1.12}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T07:53:00Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:53:00Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 5.0}, {'name': 'Hanshin Tigers', 'price': 1.15}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T07:59:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:53Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 7.5}, {'name': 'Hanshin Tigers', 'price': 1.07}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T07:59:41Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:41Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 6.25}, {'name': 'Hanshin Tigers', 'price': 1.09}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-04-19T07:59:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:42Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 7.0}, {'name': 'Hanshin Tigers', 'price': 1.06}]}]}]"
169cd9b1beebbab28ebdc3c2ae30e1ab,baseball_kbo,KBO,2026-04-19T05:01:14Z,Lotte Giants,Hanwha Eagles,"[{'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T07:51:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:51:53Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.01}, {'name': 'Lotte Giants', 'price': 34.0}]}]}]"
0baf64298a611da75e323a1bcb751440,baseball_kbo,KBO,2026-04-19T05:02:00Z,Doosan Bears,Kia Tigers,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T08:00:20Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T08:00:20Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.01}, {'name': 'Kia Tigers', 'price': 18.0}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T07:55:24Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:55:24Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.02}, {'name': 'Kia Tigers', 'price': 9.75}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T08:00:11Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T08:00:11Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.01}, {'name': 'Kia Tigers', 'price': 13.0}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T08:00:06Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T08:00:06Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.01}, {'name': 'Kia Tigers', 'price': 18.0}]}]}]"
485efe42868ab012522035be0eb72cf5,aussierules_afl,AFL,2026-04-19T05:15:00Z,Melbourne Demons,Brisbane Lions,"[{'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T07:52:48Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:52:48Z', 'outcomes': [{'name': 'Brisbane Lions', 'price': 2.9}, {'name': 'Melbourne Demons', 'price': 1.38}]}]}]"
32e14da7ac675266e4a2b8d5147cdaa0,baseball_kbo,KBO,2026-04-19T05:24:48Z,Samsung Lions,LG Twins,"[{'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T07:58:03Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:58:03Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.01}, {'name': 'Samsung Lions', 'price': 34.0}]}]}]"
04174454d3cff7120f0e6c60a3705476,soccer_japan_j_league,J League,2026-04-19T06:00:00Z,Gamba Osaka,Fagiano Okayama,"[{'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T07:59:48Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:48Z', 'outcomes': [{'name': 'Fagiano Okayama', 'price': 26.0}, {'name': 'Gamba Osaka', 'price': 12.0}, {'name': 'Draw', 'price': 1.06}]}]}]"
08e38f540659c615cb5036ffb795e659,rugbyleague_nrl,NRL,2026-04-19T06:05:00Z,Parramatta Eels,Canterbury Bulldogs,[]
0e60274ac3bd6d634ec27e40d98d23e4,soccer_japan_j_league,J League,2026-04-19T07:00:00Z,Nagoya Grampus,Avispa Fukuoka,"[{'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T07:59:48Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:48Z', 'outcomes': [{'name': 'Avispa Fukuoka', 'price': 1.15}, {'name': 'Nagoya Grampus', 'price': 16.0}, {'name': 'Draw', 'price': 7.0}]}]}]"
bed680f763827f005a9d8621143bb7fd,baseball_npb,NPB,2026-04-19T07:00:00Z,Tohoku Rakuten Golden Eagles,Chiba Lotte Marines,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T08:00:08Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T08:00:08Z', 'outcomes': [{'name': 'Chiba Lotte Marines', 'price': 7.0}, {'name': 'Tohoku Rakuten Golden Eagles', 'price': 1.09}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T07:59:17Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:17Z', 'outcomes': [{'name': 'Chiba Lotte Marines', 'price': 6.25}, {'name': 'Tohoku Rakuten Golden Eagles', 'price': 1.09}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T07:53:00Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:53:00Z', 'outcomes': [{'name': 'Chiba Lotte Marines', 'price': 5.75}, {'name': 'Tohoku Rakuten Golden Eagles', 'price': 1.12}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T07:59:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:53Z', 'outcomes': [{'name': 'Chiba Lotte Marines', 'price': 6.5}, {'name': 'Tohoku Rakuten Golden Eagles', 'price': 1.09}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T07:59:41Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:41Z', 'outcomes': [{'name': 'Chiba Lotte Marines', 'price': 5.75}, {'name': 'Tohoku Rakuten Golden Eagles', 'price': 1.1}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-04-19T07:59:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T07:59:42Z', 'outcomes': [{'name': 'Chiba Lotte Marines', 'price': 7.0}, {'name': 'Tohoku Rakuten Golden Eagles', 'price': 1.07}]}]}]"
