id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers
326b9318a1ca0e99818acc1dc3a912bf,baseball_npb,NPB,2026-04-19T04:01:19Z,Hokkaido Nippon-Ham Fighters,Saitama Seibu Lions,"[{'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:18Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:18Z', 'outcomes': [{'name': 'Hokkaido Nippon-Ham Fighters', 'price': 34.0}, {'name': 'Saitama Seibu Lions', 'price': 1.01}]}]}]"
7ce31285259cf711ea39be644c038f59,baseball_npb,NPB,2026-04-19T04:30:00Z,Hiroshima Toyo Carp,Yokohama DeNA BayStars,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:57:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:42Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 16.0}, {'name': 'Yokohama DeNA BayStars', 'price': 1.01}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:56:56Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:56:56Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 9.75}, {'name': 'Yokohama DeNA BayStars', 'price': 1.02}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:52:18Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:52:18Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 13.0}, {'name': 'Yokohama DeNA BayStars', 'price': 1.03}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:18Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:18Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 14.5}, {'name': 'Yokohama DeNA BayStars', 'price': 1.01}]}]}]"
20fb73eae7a3d20d70883fa14cc2f467,baseball_npb,NPB,2026-04-19T05:00:00Z,Hanshin Tigers,Chunichi Dragons,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:57:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:42Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.23}, {'name': 'Hanshin Tigers', 'price': 4.0}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:56:56Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:56:56Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.22}, {'name': 'Hanshin Tigers', 'price': 3.75}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:52:18Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:52:18Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.29}, {'name': 'Hanshin Tigers', 'price': 3.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:57:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:53Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.28}, {'name': 'Hanshin Tigers', 'price': 3.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:18Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:18Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.31}, {'name': 'Hanshin Tigers', 'price': 3.25}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-04-19T06:57:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:42Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.25}, {'name': 'Hanshin Tigers', 'price': 3.55}]}]}]"
4ff704f3a79f2d3fcec37721f5ff5f94,soccer_korea_kleague1,K League 1,2026-04-19T05:00:00Z,Ulsan Hyundai FC,Gwangju FC,[]
95e67a275dc6acb8ecd7b6818f7e8bab,baseball_kbo,KBO,2026-04-19T05:00:40Z,NC Dinos,SSG Landers,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:57:18Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:18Z', 'outcomes': [{'name': 'NC Dinos', 'price': 1.01}, {'name': 'SSG Landers', 'price': 16.0}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:57:54Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:53Z', 'outcomes': [{'name': 'NC Dinos', 'price': 1.06}, {'name': 'SSG Landers', 'price': 8.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:53Z', 'outcomes': [{'name': 'NC Dinos', 'price': 1.01}, {'name': 'SSG Landers', 'price': 11.0}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:52:19Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:52:19Z', 'outcomes': [{'name': 'NC Dinos', 'price': 1.01}, {'name': 'SSG Landers', 'price': 13.0}]}]}]"
169cd9b1beebbab28ebdc3c2ae30e1ab,baseball_kbo,KBO,2026-04-19T05:01:14Z,Lotte Giants,Hanwha Eagles,"[{'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:52:19Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:52:19Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.01}, {'name': 'Lotte Giants', 'price': 15.0}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:53Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.01}, {'name': 'Lotte Giants', 'price': 23.0}]}]}]"
0baf64298a611da75e323a1bcb751440,baseball_kbo,KBO,2026-04-19T05:02:00Z,Doosan Bears,Kia Tigers,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:57:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:42Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.14}, {'name': 'Kia Tigers', 'price': 5.5}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:56:57Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:56:57Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.25}, {'name': 'Kia Tigers', 'price': 3.45}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:52:19Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:52:19Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.27}, {'name': 'Kia Tigers', 'price': 3.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:57:54Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:54Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.17}, {'name': 'Kia Tigers', 'price': 4.8}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-04-19T06:57:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:42Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.11}, {'name': 'Kia Tigers', 'price': 5.6}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:53Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.12}, {'name': 'Kia Tigers', 'price': 6.0}]}]}]"
485efe42868ab012522035be0eb72cf5,aussierules_afl,AFL,2026-04-19T05:15:00Z,Melbourne Demons,Brisbane Lions,"[{'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:57:26Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:26Z', 'outcomes': [{'name': 'Brisbane Lions', 'price': 1.87}, {'name': 'Melbourne Demons', 'price': 1.87}]}]}]"
32e14da7ac675266e4a2b8d5147cdaa0,baseball_kbo,KBO,2026-04-19T05:24:48Z,Samsung Lions,LG Twins,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:57:42Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:42Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.03}, {'name': 'Samsung Lions', 'price': 11.6}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:56:57Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:56:57Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.03}, {'name': 'Samsung Lions', 'price': 9.25}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:52:19Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:52:19Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.03}, {'name': 'Samsung Lions', 'price': 10.0}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:57:54Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:54Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.04}, {'name': 'Samsung Lions', 'price': 9.0}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:53Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:53Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.06}, {'name': 'Samsung Lions', 'price': 7.5}]}]}]"
97345ed2362542569397e81ebc395a81,soccer_australia_aleague,A-League,2026-04-19T05:30:00Z,Adelaide United,Macarthur FC,"[{'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:57:47Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:47Z', 'outcomes': [{'name': 'Adelaide United', 'price': 2.45}, {'name': 'Macarthur FC', 'price': 4.4}, {'name': 'Draw', 'price': 2.25}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:57:35Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:57:35Z', 'outcomes': [{'name': 'Adelaide United', 'price': 2.35}, {'name': 'Macarthur FC', 'price': 4.6}, {'name': 'Draw', 'price': 2.1}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:45:41Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:45:41Z', 'outcomes': [{'name': 'Adelaide United', 'price': 4.3}, {'name': 'Macarthur FC', 'price': 1.9}, {'name': 'Draw', 'price': 3.25}]}]}]"
