id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers
326b9318a1ca0e99818acc1dc3a912bf,baseball_npb,NPB,2026-04-19T04:01:19Z,Hokkaido Nippon-Ham Fighters,Saitama Seibu Lions,"[{'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:49:27Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:27Z', 'outcomes': [{'name': 'Hokkaido Nippon-Ham Fighters', 'price': 29.0}, {'name': 'Saitama Seibu Lions', 'price': 1.01}]}]}]"
7ce31285259cf711ea39be644c038f59,baseball_npb,NPB,2026-04-19T04:30:00Z,Hiroshima Toyo Carp,Yokohama DeNA BayStars,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:50:03Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:03Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 13.0}, {'name': 'Yokohama DeNA BayStars', 'price': 1.02}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:48:16Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:48:16Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 6.75}, {'name': 'Yokohama DeNA BayStars', 'price': 1.08}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:49:56Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:56Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 12.0}, {'name': 'Yokohama DeNA BayStars', 'price': 1.04}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:50:02Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:02Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 10.0}, {'name': 'Yokohama DeNA BayStars', 'price': 1.03}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:49:27Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:27Z', 'outcomes': [{'name': 'Hiroshima Toyo Carp', 'price': 10.5}, {'name': 'Yokohama DeNA BayStars', 'price': 1.04}]}]}]"
20fb73eae7a3d20d70883fa14cc2f467,baseball_npb,NPB,2026-04-19T05:00:00Z,Hanshin Tigers,Chunichi Dragons,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:50:03Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:03Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.23}, {'name': 'Hanshin Tigers', 'price': 4.1}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:48:16Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:48:16Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.3}, {'name': 'Hanshin Tigers', 'price': 3.25}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:49:56Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:56Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.28}, {'name': 'Hanshin Tigers', 'price': 3.55}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:50:02Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:02Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.24}, {'name': 'Hanshin Tigers', 'price': 3.8}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:49:27Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:27Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.27}, {'name': 'Hanshin Tigers', 'price': 3.5}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-04-19T06:49:50Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:50Z', 'outcomes': [{'name': 'Chunichi Dragons', 'price': 1.23}, {'name': 'Hanshin Tigers', 'price': 3.7}]}]}]"
4ff704f3a79f2d3fcec37721f5ff5f94,soccer_korea_kleague1,K League 1,2026-04-19T05:00:00Z,Ulsan Hyundai FC,Gwangju FC,[]
95e67a275dc6acb8ecd7b6818f7e8bab,baseball_kbo,KBO,2026-04-19T05:00:40Z,NC Dinos,SSG Landers,"[{'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:50:05Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:05Z', 'outcomes': [{'name': 'NC Dinos', 'price': 1.01}, {'name': 'SSG Landers', 'price': 21.0}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:35:58Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:35:58Z', 'outcomes': [{'name': 'NC Dinos', 'price': 1.01}, {'name': 'SSG Landers', 'price': 13.0}]}]}]"
169cd9b1beebbab28ebdc3c2ae30e1ab,baseball_kbo,KBO,2026-04-19T05:01:14Z,Lotte Giants,Hanwha Eagles,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:48:40Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:48:40Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.03}, {'name': 'Lotte Giants', 'price': 11.0}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:48:15Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:48:15Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.04}, {'name': 'Lotte Giants', 'price': 8.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:50:02Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:02Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.02}, {'name': 'Lotte Giants', 'price': 12.0}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:47:46Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:47:46Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.03}, {'name': 'Lotte Giants', 'price': 10.0}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:50:05Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:05Z', 'outcomes': [{'name': 'Hanwha Eagles', 'price': 1.01}, {'name': 'Lotte Giants', 'price': 13.5}]}]}]"
0baf64298a611da75e323a1bcb751440,baseball_kbo,KBO,2026-04-19T05:02:00Z,Doosan Bears,Kia Tigers,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:49:50Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:50Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.26}, {'name': 'Kia Tigers', 'price': 3.8}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:48:15Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:48:15Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.25}, {'name': 'Kia Tigers', 'price': 3.5}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:42:49Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:42:49Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.22}, {'name': 'Kia Tigers', 'price': 3.85}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:50:02Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:02Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.34}, {'name': 'Kia Tigers', 'price': 3.1}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-04-19T06:49:51Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:51Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.32}, {'name': 'Kia Tigers', 'price': 3.1}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:50:05Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:05Z', 'outcomes': [{'name': 'Doosan Bears', 'price': 1.33}, {'name': 'Kia Tigers', 'price': 3.25}]}]}]"
485efe42868ab012522035be0eb72cf5,aussierules_afl,AFL,2026-04-19T05:15:00Z,Melbourne Demons,Brisbane Lions,"[{'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:46:24Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:46:24Z', 'outcomes': [{'name': 'Brisbane Lions', 'price': 1.1}, {'name': 'Melbourne Demons', 'price': 6.0}]}]}]"
32e14da7ac675266e4a2b8d5147cdaa0,baseball_kbo,KBO,2026-04-19T05:24:48Z,Samsung Lions,LG Twins,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-04-19T06:50:14Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:14Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.03}, {'name': 'Samsung Lions', 'price': 11.6}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-04-19T06:48:15Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:48:15Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.04}, {'name': 'Samsung Lions', 'price': 8.25}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:47:46Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:47:46Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.06}, {'name': 'Samsung Lions', 'price': 8.0}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:50:02Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:02Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.03}, {'name': 'Samsung Lions', 'price': 10.0}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-04-19T06:49:51Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:51Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.02}, {'name': 'Samsung Lions', 'price': 10.0}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:50:05Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:05Z', 'outcomes': [{'name': 'LG Twins', 'price': 1.04}, {'name': 'Samsung Lions', 'price': 8.5}]}]}]"
97345ed2362542569397e81ebc395a81,soccer_australia_aleague,A-League,2026-04-19T05:30:00Z,Adelaide United,Macarthur FC,"[{'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-04-19T06:50:08Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:50:08Z', 'outcomes': [{'name': 'Adelaide United', 'price': 4.9}, {'name': 'Macarthur FC', 'price': 1.8}, {'name': 'Draw', 'price': 3.15}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-04-19T06:49:44Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:49:44Z', 'outcomes': [{'name': 'Adelaide United', 'price': 4.6}, {'name': 'Macarthur FC', 'price': 1.77}, {'name': 'Draw', 'price': 2.95}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-04-19T06:45:41Z', 'markets': [{'key': 'h2h', 'last_update': '2026-04-19T06:45:41Z', 'outcomes': [{'name': 'Adelaide United', 'price': 4.3}, {'name': 'Macarthur FC', 'price': 1.9}, {'name': 'Draw', 'price': 3.25}]}]}]"
